segment_id	audio_filepath	duration	snr_db	vad_ratio	text_raw	text_clean	word_count	speaker_id
waxal_asr_ef8a85283c6a44f3b577c2d2dc836def	data/fulfulde_run/audio/waxal_asr_ef8a85283c6a44f3b577c2d2dc836def.wav	2.76	34.28	0.89	mo kartudi bonbon ngarmi laargo;	mo kartudi bonbon ngarmi laargo	5	unknown
waxal_asr_4959c16c066e4a4c853ccc404dc2c125	data/fulfulde_run/audio/waxal_asr_4959c16c066e4a4c853ccc404dc2c125.wav	13.174	49.38	0.79	Jam, o yaali maayo maapinndiwo, ɓiira puru ɓalwa-koppi goo diwi paɗaŋ haa gaɗa, o dilli o weeroyi saare laamɗo.	jam o yaali maayo maapinndiwo ɓiira puru ɓalwa-koppi goo diwi paɗaŋ haa gaɗa o dilli o weeroyi saare laamɗo	19	unknown
waxal_asr_f2c6bb12375f451487e13e5c1c36c509	data/fulfulde_run/audio/waxal_asr_f2c6bb12375f451487e13e5c1c36c509.wav	3.347	42.97	0.88	mukoy tati goo wii : ɓinngel to njaata?	mukoy tati goo wii ɓinngel to njaata	7	unknown
waxal_asr_07e5331d5b604473804d13fa1e39f217	data/fulfulde_run/audio/waxal_asr_07e5331d5b604473804d13fa1e39f217.wav	6.18	43.81	0.77	Alla am laamiiɗo, yah jawmam am, ayyee ndiyam no woori!	alla am laamiiɗo yah jawmam am ayyee ndiyam no woori	10	unknown
waxal_asr_f4fa603a3b7142489cab8922a672ad3f	data/fulfulde_run/audio/waxal_asr_f4fa603a3b7142489cab8922a672ad3f.wav	3.6	54.66	0.81	yeli o ɗon, yeli o walaaɗon mi anndaa.	yeli o ɗon yeli o walaaɗon mi anndaa	8	unknown
waxal_asr_5a8c7cc18019457f8d96702457f0acf7	data/fulfulde_run/audio/waxal_asr_5a8c7cc18019457f8d96702457f0acf7.wav	14.521	41.07	0.9	Ɓe ummi bee nawliiko goo ɓe tokkootiri ɓe njuurno nder leɗɗe kadi, ɓe ɗon njuurno nder leɗɗe, ɓe ngii kumanndaajo ɗon tappi juuɗe nii, ɓe tappani mo rapo.	ɓe ummi bee nawliiko goo ɓe tokkootiri ɓe njuurno nder leɗɗe kadi ɓe ɗon njuurno nder leɗɗe ɓe ngii kumanndaajo ɗon tappi juuɗe nii ɓe tappani mo rapo	28	unknown
waxal_asr_0ced15e0d1f845deb272b61104a85a33	data/fulfulde_run/audio/waxal_asr_0ced15e0d1f845deb272b61104a85a33.wav	8.76	38.78	0.84	Jam, ɓinngel suuki dilli, ɗon yaha, ɗon yaha, yehi caka ladde, tawi caɓɓulli ɗon wooja coy,	jam ɓinngel suuki dilli ɗon yaha ɗon yaha yehi caka ladde tawi caɓɓulli ɗon wooja coy	16	unknown
waxal_asr_537e126f8b3748d79c5f8d9a14e1dd15	data/fulfulde_run/audio/waxal_asr_537e126f8b3748d79c5f8d9a14e1dd15.wav	17.348	47.69	0.82	O dilli kam ba Bello ngasa, o ɗon tokkootiri e maako. Gorko goo yehi darnoyi mo kommbi honndorde, wii mo : dara gaɗa wumre ɗoo, kaŋum dilli e honndorde haa talloyo.	o dilli kam ba bello ngasa o ɗon tokkootiri e maako gorko goo yehi darnoyi mo kommbi honndorde wii mo dara gaɗa wumre ɗoo kaŋum dilli e honndorde haa talloyo	30	unknown
waxal_asr_ef908bf856764ba595ed016b3d3a76bd	data/fulfulde_run/audio/waxal_asr_ef908bf856764ba595ed016b3d3a76bd.wav	6.42	46.86	0.65	hh! Nden kam mi yiɗi mo to ngam am kam, Alla hoynan mo.	hh nden kam mi yiɗi mo to ngam am kam alla hoynan mo	13	unknown
waxal_asr_0d25ecaaf7944beb98c0e045e37535da	data/fulfulde_run/audio/waxal_asr_0d25ecaaf7944beb98c0e045e37535da.wav	4.362	27.7	0.95	O jooɗi : Bilaali ngamngam; Bilaali ngamngam;	o jooɗi bilaali ngamngam bilaali ngamngam	6	unknown
